Price,Close,High,Low,Open,Volume
Ticker,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
Date,,,,,
2019-03-18,16680.82421875,16771.088275202932,16590.560162297064,16716.93096469376,2639269
2019-03-19,16500.294921875,16716.92976518012,16500.294921875,16680.823021827175,2481668
2019-03-20,16410.02734375,16572.502973228937,16337.815744840424,16464.186510999796,2116739
2019-03-21,16283.66015625,16536.399871842896,16283.66015625,16536.399871842896,2192330
2019-03-22,16265.6064453125,16391.977229336233,16265.6064453125,16283.658879524259,7873230
2019-03-25,16030.9189453125,16247.553769443632,15958.70733726879,15958.70733726879,4392644
2019-03-26,16157.2900390625,16247.554082790279,16067.025995334721,16247.554082790279,1025140
2019-03-27,16247.5546875,16283.659557426592,16175.343075376024,16175.343075376024,1824931
2019-03-28,16301.7138671875,16373.923607051876,16157.290642917162,16157.290642917162,1227557
2019-03-29,16428.080078125,16464.18681438034,16355.868477884802,16464.18681438034,1523294
2019-04-01,16536.3984375,16572.505177893345,16428.08196086136,16572.505177893345,1879252
2019-04-02,16608.609375,16861.349058459513,16536.39776940148,16536.39776940148,3596128
2019-04-03,17041.87890625,17041.87890625,16608.61109993132,16753.034326127818,2745522
2019-04-04,17258.51171875,17402.93492798581,17059.931210253704,17150.195247958436,4689055
2019-04-05,17258.51171875,17294.616584923653,17132.140942601014,17258.51171875,4022839
2019-04-08,17258.51171875,17330.723323367907,17132.140942601014,17204.35254721892,1201803
2019-04-09,17077.984375,17511.252148999014,17077.984375,17258.5124581437,2685997
2019-04-10,16933.560546875,17077.98375707261,16879.401374983245,16969.667285559706,1941060
2019-04-11,16969.666015625,17150.19407872679,16915.506847786277,16933.559279642363,1141403
2019-04-12,17402.935546875,17475.14715406092,16915.50860257303,16915.50860257303,2577565
2019-04-16,17294.6171875,17402.935534336168,17150.195845502876,17150.195845502876,2487724
2019-04-17,17511.251953125,17872.308115373766,17402.9354789045,17439.040346221114,5460595
2019-04-18,17511.251953125,17782.044074811576,17348.776305658925,17511.251953125,2723830
2019-04-19,17493.19921875,17655.67486342304,17475.146785402023,17583.463257760508,1205307
2019-04-22,17294.6171875,17511.252008901676,17258.512320068385,17511.252008901676,2193256
2019-04-23,17294.6171875,17493.19957518587,17150.195845502876,17294.6171875,1976371
2019-04-24,17529.3046875,17565.411427706684,17366.82903724664,17511.252253532002,2270357
2019-04-25,17619.568359375,17745.939139036964,17493.199451983684,17511.25188557235,2577087
2019-04-26,17890.361328125,17962.571058345904,17619.567350714442,17655.674088095435,2442215
2019-05-02,17998.677734375,18125.046634101374,17926.466132129703,17980.625301881308,2349714
2019-05-03,18052.837890625,18052.837890625,17908.416535534998,18016.733019920208,2813145
